from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index_label
2025-08-25 16:30:00+00:00,2025-08-25 17:00:00+00:00,96,118,moderate
2025-08-25 17:00:00+00:00,2025-08-25 17:30:00+00:00,103,130,moderate
2025-08-25 17:30:00+00:00,2025-08-25 18:00:00+00:00,110,142,moderate
2025-08-25 18:00:00+00:00,2025-08-25 18:30:00+00:00,111,148,moderate
2025-08-25 18:30:00+00:00,2025-08-25 19:00:00+00:00,114,146,moderate
2025-08-25 19:00:00+00:00,2025-08-25 19:30:00+00:00,116,142,moderate
2025-08-25 19:30:00+00:00,2025-08-25 20:00:00+00:00,117,141,moderate
2025-08-25 20:00:00+00:00,2025-08-25 20:30:00+00:00,114,134,moderate
2025-08-25 20:30:00+00:00,2025-08-25 21:00:00+00:00,112,137,moderate
2025-08-25 21:00:00+00:00,2025-08-25 21:30:00+00:00,113,127,moderate
2025-08-25 21:30:00+00:00,2025-08-25 22:00:00+00:00,110,102,moderate
2025-08-25 22:00:00+00:00,2025-08-25 22:30:00+00:00,110,95,low
2025-08-25 22:30:00+00:00,2025-08-25 23:00:00+00:00,110,90,low
2025-08-25 23:00:00+00:00,2025-08-25 23:30:00+00:00,109,83,low
2025-08-25 23:30:00+00:00,2025-08-26 00:00:00+00:00,105,74,low
2025-08-26 00:00:00+00:00,2025-08-26 00:30:00+00:00,105,68,low
2025-08-26 00:30:00+00:00,2025-08-26 01:00:00+00:00,104,65,low
2025-08-26 01:00:00+00:00,2025-08-26 01:30:00+00:00,105,65,low
2025-08-26 01:30:00+00:00,2025-08-26 02:00:00+00:00,106,69,low
2025-08-26 02:00:00+00:00,2025-08-26 02:30:00+00:00,106,74,low
2025-08-26 02:30:00+00:00,2025-08-26 03:00:00+00:00,108,75,low
2025-08-26 03:00:00+00:00,2025-08-26 03:30:00+00:00,108,79,low
2025-08-26 03:30:00+00:00,2025-08-26 04:00:00+00:00,113,85,low
2025-08-26 04:00:00+00:00,2025-08-26 04:30:00+00:00,112,92,low
2025-08-26 04:30:00+00:00,2025-08-26 05:00:00+00:00,113,95,low
2025-08-26 05:00:00+00:00,2025-08-26 05:30:00+00:00,113,103,moderate
2025-08-26 05:30:00+00:00,2025-08-26 06:00:00+00:00,110,113,moderate
2025-08-26 06:00:00+00:00,2025-08-26 06:30:00+00:00,110,119,moderate
2025-08-26 06:30:00+00:00,2025-08-26 07:00:00+00:00,110,121,moderate
2025-08-26 07:00:00+00:00,2025-08-26 07:30:00+00:00,116,116,moderate
2025-08-26 07:30:00+00:00,2025-08-26 08:00:00+00:00,118,112,moderate
2025-08-26 08:00:00+00:00,2025-08-26 08:30:00+00:00,119,107,moderate
2025-08-26 08:30:00+00:00,2025-08-26 09:00:00+00:00,110,99,low
2025-08-26 09:00:00+00:00,2025-08-26 09:30:00+00:00,104,92,low
2025-08-26 09:30:00+00:00,2025-08-26 10:00:00+00:00,100,88,low
2025-08-26 10:00:00+00:00,2025-08-26 10:30:00+00:00,97,80,low
2025-08-26 10:30:00+00:00,2025-08-26 11:00:00+00:00,90,77,low
2025-08-26 11:00:00+00:00,2025-08-26 11:30:00+00:00,87,77,low
2025-08-26 11:30:00+00:00,2025-08-26 12:00:00+00:00,84,78,low
2025-08-26 12:00:00+00:00,2025-08-26 12:30:00+00:00,80,75,low
2025-08-26 12:30:00+00:00,2025-08-26 13:00:00+00:00,87,68,low
2025-08-26 13:00:00+00:00,2025-08-26 13:30:00+00:00,88,67,low
2025-08-26 13:30:00+00:00,2025-08-26 14:00:00+00:00,87,68,low
2025-08-26 14:00:00+00:00,2025-08-26 14:30:00+00:00,89,78,low
2025-08-26 14:30:00+00:00,2025-08-26 15:00:00+00:00,94,90,low
2025-08-26 15:00:00+00:00,2025-08-26 15:30:00+00:00,101,113,moderate
2025-08-26 15:30:00+00:00,2025-08-26 16:00:00+00:00,110,143,moderate
2025-08-26 16:00:00+00:00,2025-08-26 16:30:00+00:00,124,159,moderate
2025-08-26 16:30:00+00:00,2025-08-26 17:00:00+00:00,133,160,moderate
2025-08-26 17:00:00+00:00,2025-08-26 17:30:00+00:00,142,169,moderate
2025-08-26 17:30:00+00:00,2025-08-26 18:00:00+00:00,150,180,high
2025-08-26 18:00:00+00:00,2025-08-26 18:30:00+00:00,179,184,high
2025-08-26 18:30:00+00:00,2025-08-26 19:00:00+00:00,183,193,high
2025-08-26 19:00:00+00:00,2025-08-26 19:30:00+00:00,186,197,high
2025-08-26 19:30:00+00:00,2025-08-26 20:00:00+00:00,191,189,high
